ps,Pashto,Pathan,ps-Arab
pt,Portuguese,West Iberian,"Latn, Brai"
qu,Quechua,Quechuan,Latn
rm,Romansch,Rhaeto-Romance,Latn
ro,Romanian,Eastern Romance,"Latn, Cyrl"
ru,Russian,East Slavic,"Cyrl, Brai"
rw,Rwanda-Rundi,Great Lakes Bantu,Latn
sa,Sanskrit,Old Indo-Aryan,"Deva, Bali, as-Beng, Beng, Bhks, Brah, Gran, Gujr, Guru, Java, Khar, Khmr, Knda, Lana, Laoo, Mlym, Modi, Mymr, Newa, Orya, Saur, Shrd, Sidd, Sinh, Taml, Telu, Thai, Tibt, Tirh"
sc,Sardinian,Romance,Latn
sd,Sindhi,Sindhi,"sd-Arab, Deva, Sind, Khoj"
se,Northern Sami,Sami,Latn
sg,Sango,creole or pidgin,Latn
sh,Serbo-Croatian,South Slavic,"Latn, Cyrl, Glag"
si,Sinhalese,Insular Indo-Aryan,Sinh
sk,Slovak,West Slavic,Latn
sl,Slovene,South Slavic,Latn
sm,Samoan,Nuclear Polynesian,Latn
sn,Shona,Shona,Latn
so,Somali,Cushitic,"Latn, Arab, Osma"
sq,Albanian,Albanian,"Latn, Grek, Elba"
ss,Swazi,Nguni,Latn
st,Sotho,Sotho-Tswana,Latn
su,Sundanese,Malayo-Sumbawan,"Latn, Sund"
sv,Swedish,North Germanic,Latn
sw,Swahili,Swahili,"Latn, Arab"
ta,Tamil,Dravidian,Taml
te,Telugu,Dravidian,Telu
tg,Tajik,Southwestern Iranian,"Cyrl, fa-Arab, Latn"
th,Thai,Southwestern Tai,"Thai, Brai"
ti,Tigrinya,Ethiopian Semitic,Ethi
tk,Turkmen,Oghuz,"Latn, Cyrl, Arab"
tl,Tagalog,Philippine,"Latn, Tglg"
tn,Tswana,Sotho-Tswana,Latn
to,Tongan,Polynesian,Latn
tr,Turkish,Oghuz,Latn
ts,Tsonga,Tswa-Ronga,Latn
tt,Tatar,Kipchak-Bulgar,"Cyrl, Latn, tt-Arab"
ty,Tahitian,Eastern Polynesian,Latn
ug,Uyghur,Karluk,"ug-Arab, Latn, Cyrl"
uk,Ukrainian,East Slavic,Cyrl
ur,Urdu,Hindustani,ur-Arab
uz,Uzbek,Karluk,"Latn, Cyrl, fa-Arab"
ve,Venda,Southern Bantu,Latn
vi,Vietnamese,Vietic,"Latn, Hani"
vo,Volapük,constructed,Latn
wa,Walloon,Oïl,Latn
wo,Wolof,Fula-Wolof,"Latn, Arab"
xh,Xhosa,Nguni,Latn
yi,Yiddish,West Germanic,Hebr
yo,Yoruba,Yoruboid,Latn
za,Zhuang,Tai,"Latn, Hani"
